Filename,ClassId,Pred_1,Conf_1,Pred_2,Conf_2
33,Danger of slipping,Wild animals,0.899481,Danger of slipping,0.996955
114,Snow,Danger of slipping,0.502653,Snow,0.995506
453,Roundabout,Directions left and straight,0.472201,Roundabout,0.988494
1079,Double curve,Limit 30km,0.562876,Double curve,0.998199
1402,Snow,Traffic light,0.524252,Snow,0.843589
1969,Roundabout,Generic danger,0.401781,Roundabout,0.919724
2054,Generic danger,Traffic light,0.850584,Generic danger,1.000000
2535,Roundabout,Mandatory step to the left,0.411970,Roundabout,0.999686
3103,Roundabout,Mandatory step to the left,0.776128,Roundabout,0.999976
4709,Roundabout,Mandatory step to the left,0.786289,Roundabout,0.967741
4783,Men at work,Intersection with right of way,0.792125,Men at work,0.947668
4893,Asymmetrical bottleneck,Traffic light,0.601253,Asymmetrical bottleneck,0.881827
5992,Roundabout,Directions left and straight,0.748903,Roundabout,0.999129
6894,Roundabout,Mandatory step to the left,0.699750,Roundabout,0.748237
8750,Men at work,Intersection with right of way,0.578609,Men at work,0.637651
8808,Roundabout,Mandatory step to the left,0.618326,Roundabout,0.999803
10840,Intersection with right of way,Dangerous right curve,0.850848,Intersection with right of way,0.991906
11833,Roundabout,Directions left and straight,0.543223,Roundabout,0.965359
12016,Asymmetrical bottleneck,Traffic light,0.448045,Asymmetrical bottleneck,0.995698
12135,Roundabout,Directions left and straight,0.687470,Roundabout,0.994430
12253,Asymmetrical bottleneck,Traffic light,0.592465,Asymmetrical bottleneck,0.910971
