Filename,ClassId,Pred_1,Conf_1,Pred_2,Conf_2
0,Prohibition of heavy vehicles transit,Prohibition of heavy vehicles transit,0.999995,Prohibition of heavy vehicles transit,1.000000
1,Limit 30km,Limit 30km,1.000000,Limit 30km,1.000000
2,Mandatory step to the right,Mandatory step to the right,1.000000,Mandatory step to the right,1.000000
3,Right turn mandatory,Right turn mandatory,1.000000,Right turn mandatory,0.999880
4,Intersection with right of way,Intersection with right of way,1.000000,Intersection with right of way,1.000000
5,Mandatory step to the right,Mandatory step to the right,1.000000,Mandatory step to the right,1.000000
6,Generic danger,Generic danger,1.000000,Generic danger,1.000000
7,Right of way,Right of way,0.999999,Right of way,0.997512
8,Men at work,Men at work,1.000000,Men at work,1.000000
9,Mandatory direction straight,Mandatory direction straight,1.000000,Mandatory direction straight,0.999999
10,Right of way,Right of way,0.999999,Right of way,1.000000
11,Limit 100km,Limit 100km,1.000000,Limit 100km,1.000000
12,Danger of slipping,Danger of slipping,0.988851,Danger of slipping,0.999999
13,Limit 100km,Limit 100km,0.999075,Limit 100km,1.000000
14,Limit 70km,Limit 70km,1.000000,Limit 70km,0.999992
15,No overtaking,No overtaking,1.000000,No overtaking,1.000000
16,Double curve,Double curve,0.999976,Double curve,0.950799
17,Dangerous right curve,Dangerous right curve,1.000000,Dangerous right curve,1.000000
18,Pedestrian crossing,Pedestrian crossing,0.999925,Pedestrian crossing,0.999698
19,Mandatory step to the right,Mandatory step to the right,1.000000,Mandatory step to the right,1.000000
20,Limit 70km,Limit 70km,1.000000,Limit 70km,1.000000
21,Right turn mandatory,Right turn mandatory,1.000000,Right turn mandatory,0.999999
22,No overtaking,No overtaking,1.000000,No overtaking,1.000000
23,Limit 60km,Limit 60km,1.000000,Limit 60km,1.000000
24,Limit 30km,Limit 30km,1.000000,Limit 30km,1.000000
25,Intersection with right of way,Intersection with right of way,1.000000,Intersection with right of way,1.000000
26,Give right to pass,Give right to pass,0.999997,Give right to pass,0.999986
27,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000,No overtaking of heavy vehicles,1.000000
28,No overtaking,No overtaking,1.000000,No overtaking,1.000000
29,Intersection with right of way,Intersection with right of way,1.000000,Intersection with right of way,1.000000
30,Limit 80km,Limit 80km,1.000000,Limit 80km,0.999997
31,Wrong way,Wrong way,1.000000,Wrong way,1.000000
32,Left turn mandatory,Left turn mandatory,1.000000,Left turn mandatory,0.999999
33,Danger of slipping,Danger of slipping,0.914031,Danger of slipping,0.998915
34,Limit 50km,Limit 50km,1.000000,Limit 50km,1.000000
35,Wrong way,Wrong way,1.000000,Wrong way,1.000000
36,Limit 60km,Limit 60km,1.000000,Limit 60km,1.000000
37,Right of way,Right of way,0.999989,Right of way,1.000000
38,Prohibition of heavy vehicles transit,Prohibition of heavy vehicles transit,1.000000,Prohibition of heavy vehicles transit,1.000000
39,Limit 120km,Limit 120km,0.997423,Limit 120km,0.998912
40,Limit 100km,Limit 100km,0.999988,Limit 100km,1.000000
41,Snow,Snow,0.999940,Snow,1.000000
42,Generic danger,Generic danger,0.999997,Generic danger,1.000000
43,Right of way,Right of way,1.000000,Right of way,1.000000
44,Asymmetrical bottleneck,Asymmetrical bottleneck,1.000000,Asymmetrical bottleneck,0.999969
45,Men at work,Men at work,0.999979,Men at work,0.999999
46,Limit 60km,Limit 60km,1.000000,Limit 60km,1.000000
47,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000,No overtaking of heavy vehicles,1.000000
48,Generic danger,Generic danger,0.999353,Generic danger,0.990433
49,Limit 120km,Limit 120km,0.529587,Limit 100km,0.977991
50,Men at work,Generic danger,0.700159,Generic danger,0.993609
51,Give right to pass,Give right to pass,1.000000,Give right to pass,0.999999
52,Transit prohibition,Transit prohibition,0.999994,Transit prohibition,1.000000
53,No overtaking,No overtaking,1.000000,No overtaking,1.000000
54,Give right to pass,Give right to pass,1.000000,Give right to pass,1.000000
55,Mandatory direction straight,Mandatory direction straight,0.999999,Mandatory direction straight,1.000000
