Filename,ClassId,Pred_1,Conf_1,Pred_2,Conf_2
49,Limit 120km,Limit 120km,0.542744,Limit 100km,0.983344
114,Snow,Danger of slipping,0.771181,Snow,0.997422
147,End of no overtaking,End of no overtaking,0.999748,No overtaking,0.999777
151,Asymmetrical bottleneck,Asymmetrical bottleneck,0.720357,Traffic light,0.889642
198,Generic danger,Generic danger,0.551117,Wild animals,0.814861
309,Mandatory step to the right,Limit 50km,0.840976,Limit 20km,0.231395
368,Dangerous left curve,Dangerous left curve,0.757543,Wild animals,0.811539
421,Limit 70km,Limit 70km,0.802411,Limit 50km,0.990230
455,Mandatory step to the right,Left turn mandatory,0.630774,Mandatory step to the right,0.983508
459,End limit 80km,End limit 80km,0.951781,Go ahead,0.993719
475,Right of way,Roundabout,0.461927,Left turn mandatory,0.522275
496,Snow,Snow,0.373004,Intersection with right of way,0.989474
537,End limit 80km,End limit 80km,0.683779,Go ahead,0.998052
660,Limit 80km,Limit 80km,0.965163,Men at work,0.600269
764,Right of way,Roundabout,0.355992,Right of way,0.811461
781,Mandatory step to the left,Mandatory step to the left,0.660414,Limit 50km,0.794381
804,Right of way,Directions right and straight,0.244903,Transit prohibition,0.937010
806,Traffic light,Traffic light,0.908760,Asymmetrical bottleneck,0.620116
829,Pedestrian crossing,Generic danger,0.458907,Limit 30km,0.999955
904,Pedestrian crossing,Generic danger,0.530933,Limit 30km,0.995091
939,Right of way,Right of way,0.349100,Transit prohibition,0.864557
943,Limit 20km,Limit 20km,0.972081,Limit 70km,0.981600
1008,Right of way,Roundabout,0.715230,Right of way,0.530269
1061,Right of way,Give right to pass,0.449564,Transit prohibition,0.986964
1165,End limit 80km,End limit 80km,0.998695,Limit 80km,0.975444
1183,Asymmetrical bottleneck,Asymmetrical bottleneck,0.653743,Traffic light,0.547334
1200,Limit 80km,Limit 80km,0.994846,Limit 50km,1.000000
1402,Snow,Snow,0.531673,Traffic light,0.643706
1431,Pedestrian crossing,Generic danger,0.705616,Limit 30km,0.995811
1560,End of no overtaking of heavy vehicles,End of no overtaking of heavy vehicles,0.440474,Dangerous right curve,0.400421
1583,Double curve,Double curve,0.985190,Limit 50km,0.740359
1597,Traffic light,Traffic light,0.986532,Asymmetrical bottleneck,0.905904
1614,Right of way,Right of way,0.753957,Men at work,0.782994
1746,Mandatory step to the left,Mandatory step to the left,0.678688,Limit 50km,0.875597
