Filename,ClassId,Pred,Conf
0,Prohibition of heavy vehicles transit,Prohibition of heavy vehicles transit,0.999989
1,Limit 30km,Limit 30km,0.999999
2,Right of way,Right of way,0.999996
3,Limit 30km,Limit 30km,1.000000
4,Wrong way,Wrong way,1.000000
5,Pedestrian crossing,Pedestrian crossing,0.999974
6,Right of way,Right of way,1.000000
7,Dangerous right curve,Dangerous right curve,0.999998
8,Mandatory step to the right,Mandatory step to the right,1.000000
9,Men at work,Men at work,1.000000
10,Give right to pass,Give right to pass,1.000000
11,Right of way,Right of way,1.000000
12,Limit 70km,Limit 70km,1.000000
13,Right turn mandatory,Right turn mandatory,0.999999
14,Danger of slipping,Danger of slipping,0.999966
15,Limit 30km,Limit 30km,0.999999
16,Intersection with right of way,Intersection with right of way,0.999996
17,Give right to pass,Give right to pass,1.000000
18,Limit 30km,Limit 30km,0.999997
19,End limit 80km,End limit 80km,0.999999
20,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
21,End limit 80km,End limit 80km,0.999726
22,Snow,Snow,1.000000
23,Right of way,Right of way,1.000000
24,Mandatory step to the right,Mandatory step to the right,0.999999
25,Intersection with right of way,Intersection with right of way,0.999995
26,Right of way,Right of way,1.000000
27,Limit 30km,Limit 30km,0.999996
28,Mandatory step to the right,Mandatory step to the right,1.000000
29,Generic danger,Generic danger,1.000000
30,Limit 70km,Limit 70km,0.999999
31,Generic danger,Generic danger,0.999958
32,Limit 50km,Limit 50km,1.000000
33,Mandatory step to the right,Mandatory step to the right,0.999995
34,Give right to pass,Give right to pass,1.000000
35,Generic danger,Generic danger,0.999815
36,Limit 80km,Limit 80km,0.999947
37,Right of way,Right of way,1.000000
38,Double curve,Double curve,0.999999
39,No overtaking,No overtaking,1.000000
40,Limit 70km,Limit 70km,1.000000
41,Limit 120km,Limit 120km,0.999995
42,Men at work,Men at work,1.000000
43,Limit 50km,Limit 50km,1.000000
44,Intersection with right of way,Intersection with right of way,1.000000
45,Right turn mandatory,Right turn mandatory,0.999986
46,Stop,Stop,0.999993
47,Give right to pass,Give right to pass,0.999999
48,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999998
49,No overtaking,No overtaking,1.000000
50,No overtaking,No overtaking,0.999999
51,Wrong way,Wrong way,1.000000
52,Right of way,Right of way,0.999997
53,No overtaking,No overtaking,0.999999
54,Limit 120km,Limit 120km,0.999993
55,Intersection with right of way,Intersection with right of way,0.999996
56,Limit 80km,Limit 80km,1.000000
57,Limit 70km,Limit 70km,1.000000
58,Limit 20km,Limit 20km,0.999856
59,Limit 80km,Limit 80km,1.000000
60,Limit 70km,Limit 70km,0.999899
61,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999994
62,Give right to pass,Give right to pass,0.999999
63,School,School,0.999999
64,Generic danger,Generic danger,1.000000
65,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
66,Mandatory step to the left,Mandatory step to the left,1.000000
67,Limit 80km,Limit 80km,1.000000
68,Limit 60km,Limit 60km,0.999999
69,Danger of bumps,Danger of bumps,0.999837
70,Mandatory step to the right,Mandatory step to the right,0.999657
71,Mandatory direction straight,Mandatory direction straight,1.000000
72,Prohibition of heavy vehicles transit,Prohibition of heavy vehicles transit,0.999996
73,Traffic light,Traffic light,0.999950
74,Mandatory direction straight,Mandatory direction straight,0.999859
75,Limit 100km,Limit 100km,0.999999
76,Generic danger,Generic danger,0.999986
77,Limit 60km,Limit 60km,1.000000
78,Men at work,Men at work,0.999958
79,Prohibition of heavy vehicles transit,Prohibition of heavy vehicles transit,0.999941
80,Mandatory direction straight,Mandatory direction straight,1.000000
81,Limit 60km,Limit 60km,0.999997
82,Men at work,Men at work,1.000000
83,Limit 70km,Limit 70km,0.999999
84,No overtaking,No overtaking,0.999998
85,Limit 80km,Limit 80km,0.999998
86,Intersection with right of way,Intersection with right of way,1.000000
87,Limit 30km,Limit 30km,1.000000
88,Intersection with right of way,Intersection with right of way,1.000000
89,Directions right and straight,Directions right and straight,0.999974
90,End of no overtaking of heavy vehicles,End of no overtaking of heavy vehicles,0.999831
91,Limit 30km,Limit 30km,1.000000
92,Right of way,Right of way,0.999998
93,Right of way,Right of way,1.000000
94,Limit 70km,Limit 70km,1.000000
95,Traffic light,Traffic light,0.999994
96,Limit 60km,Limit 60km,0.999993
97,Mandatory step to the right,Mandatory step to the right,1.000000
98,Left turn mandatory,Left turn mandatory,0.999996
99,Limit 100km,Limit 100km,0.999969
100,Limit 60km,Limit 60km,1.000000
101,Limit 50km,Limit 50km,1.000000
102,Intersection with right of way,Intersection with right of way,1.000000
103,Right of way,Right of way,1.000000
104,Men at work,Men at work,1.000000
105,Men at work,Men at work,1.000000
106,No overtaking,No overtaking,1.000000
107,Limit 60km,Limit 60km,1.000000
108,Mandatory direction straight,Mandatory direction straight,1.000000
109,Limit 60km,Limit 60km,0.999969
110,Traffic light,Traffic light,1.000000
111,Limit 80km,Limit 80km,1.000000
112,Limit 50km,Limit 50km,1.000000
113,Mandatory step to the right,Mandatory step to the right,1.000000
114,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999998
115,Limit 120km,Limit 120km,0.999992
116,Pedestrian crossing,Pedestrian crossing,0.999840
117,Stop,Stop,1.000000
118,Wrong way,Wrong way,1.000000
119,Right of way,Right of way,0.999997
120,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
121,Limit 100km,Limit 100km,0.999993
122,Mandatory direction straight,Mandatory direction straight,1.000000
123,Limit 60km,Limit 60km,0.999994
124,Generic danger,Generic danger,0.999999
125,Men at work,Men at work,1.000000
126,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999997
127,Generic danger,Generic danger,1.000000
128,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999961
129,Limit 50km,Limit 50km,0.999999
130,Intersection with right of way,Intersection with right of way,0.999997
131,Intersection with right of way,Intersection with right of way,0.999999
132,Limit 70km,Limit 70km,0.999997
133,Mandatory step to the right,Mandatory step to the right,1.000000
134,Mandatory step to the right,Mandatory step to the right,0.999999
135,Give right to pass,Give right to pass,1.000000
136,Dangerous right curve,Dangerous right curve,0.999972
137,Limit 50km,Limit 50km,1.000000
138,Limit 120km,Limit 120km,1.000000
139,Traffic light,Traffic light,1.000000
140,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999999
141,Right of way,Right of way,1.000000
142,Intersection with right of way,Intersection with right of way,0.999855
143,Give right to pass,Give right to pass,0.999988
144,Limit 30km,Limit 30km,1.000000
145,Limit 70km,Limit 70km,1.000000
146,Give right to pass,Give right to pass,1.000000
147,Limit 30km,Limit 30km,1.000000
148,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999999
149,Right of way,Right of way,0.999999
150,Right turn mandatory,Right turn mandatory,0.999993
151,Limit 30km,Limit 30km,0.999999
152,Wild animals,Wild animals,0.999998
153,Mandatory direction straight,Mandatory direction straight,0.999999
154,Limit 60km,Limit 60km,0.999960
155,Limit 100km,Limit 100km,0.997485
156,Double curve,Double curve,0.999999
157,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
158,Limit 50km,Limit 50km,0.999943
159,Right of way,Right of way,1.000000
160,Wild animals,Wild animals,1.000000
161,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
162,School,School,0.999999
163,No overtaking,No overtaking,1.000000
164,Men at work,Men at work,1.000000
165,Directions right and straight,Directions right and straight,0.999983
166,Transit prohibition,Transit prohibition,0.999999
167,Mandatory step to the right,Mandatory step to the right,0.999999
168,Limit 60km,Limit 60km,0.999981
169,Wrong way,Wrong way,0.999999
170,Mandatory direction straight,Mandatory direction straight,0.999968
171,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
172,Right of way,Right of way,1.000000
173,Transit prohibition,Transit prohibition,0.999998
174,Give right to pass,Give right to pass,1.000000
175,Wrong way,Wrong way,1.000000
176,Cycle crossing,Cycle crossing,0.999974
177,Danger of bumps,Danger of bumps,0.999718
178,Right of way,Right of way,1.000000
179,Limit 70km,Limit 70km,0.999994
180,Wrong way,Wrong way,1.000000
181,Transit prohibition,Transit prohibition,0.999531
182,Wrong way,Wrong way,0.999987
183,Limit 120km,Limit 120km,0.999989
184,Limit 50km,Limit 50km,1.000000
185,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999997
186,Prohibition of heavy vehicles transit,Prohibition of heavy vehicles transit,0.999981
187,Right turn mandatory,Right turn mandatory,0.999990
188,Danger of bumps,Danger of bumps,0.999987
189,Mandatory direction straight,Mandatory direction straight,0.999996
190,Limit 50km,Limit 50km,0.999998
191,Roundabout,Roundabout,0.983263
192,Limit 70km,Limit 70km,1.000000
193,Stop,Stop,1.000000
194,Intersection with right of way,Intersection with right of way,0.999994
195,Limit 30km,Limit 30km,1.000000
196,Traffic light,Traffic light,0.998819
197,Mandatory direction straight,Mandatory direction straight,0.999991
198,Danger of bumps,Danger of bumps,0.999851
199,Asymmetrical bottleneck,Asymmetrical bottleneck,0.999997
200,Generic danger,Generic danger,0.999939
201,Transit prohibition,Transit prohibition,1.000000
202,Limit 60km,Limit 60km,0.999988
203,Mandatory direction straight,Mandatory direction straight,1.000000
204,Limit 80km,Limit 80km,1.000000
205,Limit 70km,Limit 70km,1.000000
206,Mandatory step to the right,Mandatory step to the right,1.000000
207,Right of way,Right of way,1.000000
208,Intersection with right of way,Intersection with right of way,1.000000
209,Limit 60km,Limit 60km,0.999999
210,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999999
211,Dangerous left curve,Dangerous left curve,0.999936
212,Asymmetrical bottleneck,Asymmetrical bottleneck,0.999985
213,No overtaking,No overtaking,1.000000
214,Limit 80km,Limit 80km,0.999999
215,Intersection with right of way,Intersection with right of way,0.999998
216,Right of way,Right of way,1.000000
217,Limit 60km,Limit 60km,0.999998
218,Limit 80km,Limit 80km,1.000000
219,End limit 80km,End limit 80km,0.999999
220,Limit 60km,Limit 60km,1.000000
221,Right turn mandatory,Right turn mandatory,0.999982
222,Give right to pass,Give right to pass,0.999988
223,Right of way,Right of way,1.000000
224,Limit 70km,Limit 70km,0.999998
225,Limit 80km,Limit 80km,1.000000
226,Stop,Stop,1.000000
227,Right turn mandatory,Right turn mandatory,0.999956
228,Limit 80km,Limit 80km,0.999983
